S_LHS,P_LHS,S_RHS,P_RHS,S_TOP,P_TOP
0,999.20,0,999.30,0,994.80
71,998.90,71,998.80,70,994.60
142,999.30,142,998.80,141,995.80
244,999.00,244,1000.60,212,994.60
315,999.30,314,1000.00,283,994.00
386,999.10,384,999.40,354,995.60
456,999.10,454,998.90,425,995.60
527,999.20,525,999.80,496,994.00
597,999.00,596,999.00,567,994.70
668,999.00,666,1000.00,638,994.50
719,998.90,716,999.60,709,994.70
809,999.00,806,999.40,780,994.20
880,998.90,877,999.40,851,994.40
950,999.10,948,999.90,922,994.90
1001,999.10,998,1000.30,993,994.80
1071,999.20,1068,999.90,1064,994.60
1141,999.00,1138,999.90,1135,994.20
1211,999.20,1208,1000.10,1206,995.30
1281,999.10,1278,999.50,1277,994.90
1351,999.00,1348,999.10,1348,994.60
1421,999.00,1418,998.80,1419,994.80
1491,999.10,1488,1000.10,1490,994.40
1561,998.90,1558,1000.70,1561,994.80
1631,998.90,1648,999.80,1632,995.10
1701,999.10,1718,998.90,1703,995.60
1771,999.10,1788,999.90,1774,995.00
1841,999.10,1858,999.30,1845,994.70
1911,999.00,1928,998.30,1916,995.10
1981,999.10,1998,998.80,1987,995.40
2040,999.10,2048,999.40,2058,994.80
2111,998.90,2118,1001.00,2129,995.70
2171,999.40,2168,999.30,2168,995.20
2171,999.10,2168,999.50,2168,994.80
2171,998.90,2168,1000.10,2168,995.00
2171,999.00,2168,1000.60,2168,994.80
2171,999.00,2168,999.90,2168,995.00
2171,998.90,2168,999.70,2168,995.10
2171,999.10,2168,999.90,2168,994.30
2171,998.90,2168,999.70,2168,994.80
2171,999.10,2168,999.50,2168,993.90
2171,999.10,2168,999.80,2168,994.20
2171,998.80,2168,999.90,2168,994.70
2171,999.10,2168,998.60,2168,994.90
2171,999.20,2168,999.60,2168,995.70
2171,999.00,2168,998.90,2168,995.10
2171,999.10,2168,1000.30,2168,994.30
2171,999.00,2168,999.60,2168,995.40
2171,999.00,2168,999.80,2168,995.00
2171,999.10,2168,999.40,2168,995.60
2171,999.10,2168,999.80,2168,994.30
2171,999.00,2168,999.10,2168,995.60
2171,999.20,2168,999.60,2168,995.30
2171,999.20,2168,999.50,2168,994.50
2171,998.90,2168,999.60,2168,994.30
2171,999.00,2168,999.60,2168,993.80
2171,999.20,2168,1000.00,2168,994.90
2175,999.10,2156,999.40,2176,995.10
2195,999.20,2140,999.30,2168,994.30
2215,999.10,2127,1000.00,2157,995.00
2235,999.10,2119,999.60,2140,995.40
2255,998.90,2112,999.30,2120,994.60
2268,999.00,2112,999.20,2101,995.40
2273,999.10,2113,999.00,2091,994.50
2274,999.00,2115,999.60,2087,995.30
2276,999.10,2117,1000.30,2082,994.30
2276,998.90,2117,999.70,2082,995.40
2276,998.90,2117,998.80,2082,994.50
2272,999.10,2116,998.60,2089,994.40
2252,999.10,2124,999.80,2107,994.50
2232,999.00,2131,999.90,2122,995.40
2212,999.00,2138,1001.50,2135,995.40
2192,999.10,2145,1000.70,2147,995.50
2172,999.10,2152,999.60,2158,995.30
2152,999.00,2159,999.60,2167,995.60
2132,999.20,2167,999.60,2174,994.70
2112,999.20,2176,1000.60,2180,994.70
2092,999.10,2185,999.30,2186,995.90
2072,999.00,2194,999.70,2192,994.60
2052,998.90,2203,1000.30,2198,994.50
2032,999.10,2210,1000.90,2205,995.20
2013,999.10,2208,999.60,2225,995.10
2013,998.90,2190,1000.50,2245,994.80
2019,999.10,2170,999.80,2259,994.10
2026,999.20,2150,999.00,2269,994.70
2033,999.00,2130,999.40,2278,994.70
2039,999.20,2110,1000.60,2286,995.80
2046,999.10,2090,998.50,2292,996.10
2053,999.00,2070,1000.50,2297,994.80
2060,999.10,2050,999.30,2302,994.20
2068,999.20,2030,1000.70,2307,994.50
2079,999.30,2010,999.20,2309,995.00
2099,998.90,1992,1000.00,2304,995.00
2119,999.10,1982,1000.60,2293,994.60
2139,999.20,1980,999.60,2276,995.60
2156,999.20,1983,1000.00,2256,994.40
2170,999.00,1989,998.90,2236,995.20
2178,999.00,1999,1000.30,2216,995.00
2184,999.10,2010,999.20,2196,993.70
2188,999.00,2023,1000.30,2176,994.90
2188,999.10,2037,999.00,2156,994.60
2183,998.80,2055,1000.00,2136,994.60
2172,999.30,2075,998.90,2118,995.20
2156,999.00,2095,999.80,2102,995.00
2136,999.10,2115,999.90,2088,994.50
2116,999.10,2130,999.70,2082,994.60
2096,999.10,2143,1000.20,2079,995.40
2076,998.90,2154,998.70,2080,994.20
2056,999.10,2164,1000.50,2087,994.70
2036,999.10,2170,999.40,2102,994.90
2022,998.90,2171,999.40,2122,994.70
2014,999.10,2168,1001.10,2142,995.00
2007,999.10,2164,999.10,2162,994.30
2000,998.90,2159,1000.30,2182,993.50
1994,999.10,2154,1000.20,2202,994.20
1987,999.00,2149,998.60,2222,994.50
1981,998.80,2144,1000.40,2242,993.90
1974,998.80,2140,999.70,2262,994.70
1968,999.30,2135,999.80,2282,995.00
1961,999.00,2131,998.50,2302,994.70
1955,998.90,2126,1000.70,2322,994.10
1953,999.10,2125,1000.40,2328,995.60
1953,998.90,2125,1000.00,2328,995.20
1953,998.80,2125,999.70,2328,994.40
1953,998.90,2125,1000.30,2328,994.70
1953,999.10,2125,1000.70,2328,994.50
1953,998.90,2125,999.20,2328,995.60
1953,998.90,2125,999.90,2328,995.60
